,revenue
7503,21750000
5465,68129518
5215,33300000
2933,74608570
4277,109578115
3402,4000000
2258,113493481
947,124693
2977,29700000
6795,12506188
7049,4790751
1762,119500000
1480,5000000
1058,1108462
2206,18253415
2338,100853753
3221,5735963
87,32392047
285,1614266
5940,70611210
870,6101046
1141,11
2877,51973029
2269,287553595
4684,48000
6962,24829644
4052,119188334
4750,63848322
7981,25965144
1466,224803475
3209,98267558
7254,13500000
3572,122650962
5154,19740070
6826,240031094
7744,551760
7335,710644566
6266,74208267
6706,11000000
17,1234254
3739,28570902
5816,11718595
5878,205068
7777,870751
7362,163720069
785,764083
4518,3500000
164,62771059
7354,22852638
2340,29359216
1849,18000000
1831,9816332
4699,86468162
6555,8089290
4568,684351
1757,639000
7245,519311965
6563,3412497
958,142851197
7052,30626182
6186,27007143
6596,153962963
7008,309973
5694,31083599
5986,107944236
281,66486080
4782,137783840
1577,16000000
1118,107879496
6072,37151
4030,415686217
5320,123572
7275,2556911
5405,361366633
5400,3468572
5573,4500000
1738,46434570
220,10652498
2009,340312
6224,1148752
7818,2084628
6663,42313354
4647,182057016
1340,68349884
7180,8801940
1082,985007
638,1400000
4932,21353303
4043,229094
7966,2035470
4874,6467348
3860,14946150
2424,73648228
2677,19516000
2705,5410749
6334,206071502
5277,8946237
2091,22044277
5414,40100000
3049,3123963
1169,87404651
1818,649398328
1364,19300483
2597,16757163
1423,30551495
1875,68514844
3296,678604
186,3833507
5274,747862775
5666,21095683
3748,6134438
4682,7532911
2168,2500431
1588,23083334
3741,27305571
7121,38702310
6853,23562716
239,57588485
3444,20377075
2112,24760338
6721,245676146
4259,4453524
2411,223664608
1079,6860853
652,49501
2145,22433275
4363,40697761
7602,33946224
241,18662027
2510,532269
3367,2465960
7271,192400
1770,7025496
1339,4588176
6959,78396
3445,98126565
4717,389925971
6438,302000
6915,85280250
1402,11472454
6159,8786375
670,3100000
7993,22472631
6565,15946321
297,56489558
1052,10541523
7414,14000
2014,392000694
2239,91000000
406,14110589
5867,34994648
61,14400000
302,2945242
4796,136706683
7146,635162
2746,49627779
4502,7690013
2606,176885658
6153,64626786
3187,8200000
3103,33400000
7770,44617342
5763,15608545
2504,3960327
4513,8810591
5503,161777836
1243,716392705
4512,30400
4860,171844840
6814,27728118
7286,165888
3293,193921372
2311,63833449
4873,30867525
3782,2367161
520,18195610
115,41604473
1734,244527583
4991,43995918
5192,156021
7888,13936
2560,12065892
339,2200000
3291,864659
6486,236049757
2102,157100845
7776,89800000
1090,36869414
6507,33736689
5594,238227
2692,40903593
6799,22889018
1421,43471
1951,2628241
4256,145000000
7046,698200
1760,596000
2313,114956699
1765,14631377
3473,7500000
1586,232324128
303,22886222
4214,746846894
6910,13700000
1399,62788218
3787,143485
3022,45554533
3343,20060051
1739,122417389
3499,25000
1029,157387195
6458,30700000
443,4300000
364,60289912
7151,0
3394,18295
83,40400657
347,1
5445,56870414
5194,69564
3999,24816118
1001,42070000
7520,34872033
7897,7800000
5998,1083683
1358,101300000
7718,9104716
4646,40283321
2370,301000000
1664,90383208
543,926287400
6174,50000000
5040,2409225
6179,236350661
5901,1615018
794,93617009
5562,60700
1502,81272766
2882,6659377
3433,27685016
1854,18803648
4798,211989043
2927,431971116
1659,8178569
3323,15008161
5587,5092129
187,921000
7700,34000000
6512,7888102
6562,114977104
247,92180910
4534,26620002
5208,900000
2235,1400000
693,2450846
2395,248392
5325,20400
5911,0
2886,202000
7804,9726954
262,17636261
4779,45710059
5709,63782078
2799,134748021
6617,141864
749,84565230
5639,181001478
6394,603873119
4209,90247624
2573,8690429
7858,6108720
7402,19660000
1459,4159678
7518,13684
3843,27354
2582,8
427,2012927
224,500
2925,142817992
7351,7000000
2873,115860
2227,363164265
5474,253899
1716,5101756
6774,6463286
2278,7103973
156,8262833
7355,409144
4002,53825515
6164,383294
3401,36000000
7061,2141028
524,8500000
4697,9630444
1941,1100000
1761,1506249360
3919,1156000
3746,8025872
6048,122126687
4633,572700000
7848,17062499
7033,1156730962
7322,269994119
7208,222446882
6161,91549
5773,71255003
151,16905
2373,87100449
5523,2915767
6175,21009180
2191,48190704
346,87416021
3136,34694
6196,2154696
5461,674918
3146,4505
7546,8786756
1859,32726956
7480,1412181
85,152022101
568,17768012
5933,245000
831,3148182
1008,19472057
2132,99965753
4123,2945600
5522,37295445
2884,331816
5992,68267862
240,5790448
7417,46665856
6087,51600000
435,300859
2633,37664855
4984,67308282
945,43650785
5450,153205
2536,14200000
5116,27388767
6476,38085778
2142,4905000
3653,20324096
6517,12885193
57,238207122
866,8000000
5009,4349187
661,10016934
7830,61782
596,21028755
1409,108083
4808,33125
3569,380806
6682,8784318
6316,8380329
5113,46908987
2349,441306145
7524,108154
2503,49364621
1205,50244700
1412,108286421
1450,87784194
7432,27139524
1449,30524763
7079,191502426
1704,89162162
4674,5231128
54,46069568
7289,85154
5900,68282844
7108,199043242
5504,4882577
1746,4000000
5001,12379402
6071,7951247
3982,2336172
126,15500000
526,17425000
3697,9172000
592,44703995
1347,169852759
6079,16930185
1751,14054361
3311,546388105
7392,60780981
2679,23057115
502,316472
3051,62646763
1860,566736
3979,175742
622,4073489
5689,41670166
7202,51155219
412,97594140
1505,16374328
5752,15121165
5831,321365567
3315,18490423
7887,738599701
4598,92
5543,24261569
4905,231976425
2445,32155047
7759,677387716
6578,527000000
196,136203
6510,29450919
5229,17549645
2386,21700000
7223,214600
519,28258060
6466,65796862
2808,70136369
76,500000
218,5010362
4364,169976
1657,49002684
4593,7630000
3758,89328627
7948,123922370
3004,653621
2978,1053788
3730,104945765
4266,30930984
6595,39143839
887,54586584
612,8203235
7344,487853320
7445,4619014
1191,46089287
1783,616801808
3023,37311672
876,42160849
7341,63013281
2452,95404397
4003,215887717
1272,102272727
5223,1632
844,1012189
2806,86369815
5258,20728
6837,31807156
5372,264105545
3189,5100000
4447,46770602
6722,72436439
7816,24058838
3872,553799566
4193,38625550
4308,222809600
295,5873871
3040,182300000
2083,3848034
1232,473993
4341,250100000
486,186883563
3369,62112895
2784,34967437
2583,9109322
4842,201965915
4687,739690
1327,27122040
6921,40000000
385,229736344
6614,83453539
3912,4736202
2094,2802459
1825,5765562
2051,1494399
6642,2118871
1033,29235353
1607,240978
2505,8910819
7017,2647055
5135,20000000
6074,3049135
2185,7191399
1249,419651413
6393,272742922
6694,25000000
7590,28575078
4154,18635620
3043,116207
2795,4069090
2643,100076342
995,1530216
510,9600000
3257,60487945
7632,9100000
5929,119
5641,76270454
5633,327345
2005,18591272
5417,34377585
2020,5741608
1748,666045
1005,151493655
110,67631903
7787,4603929
6308,43880
7092,1600000
3783,3109904
2539,188126
5280,861789
3039,13191
7471,443140005
2847,1625847
1504,286201
2950,114908830
1900,266000000
2524,396003
1696,5000000
6160,793775
6382,33621
1650,63463
816,41205099
1691,60611975
3835,3309421
5844,4684165
2139,105200903
3488,349899
621,837000
6615,1102469
2636,67918658
3363,16549477
1556,560069
7458,25024919
5484,9116968
6310,5500000
1088,4367497
5520,4439431
3300,850994
1462,6491240
973,78874843
7565,10000000
1286,67642693
7449,12303904
7878,35000000
4537,19152480
18,1749457
4393,26000000
5651,60000000
5951,14109284
5953,458996
4862,624026776
8017,14674076
398,75505856
2557,7011317
4070,165000
1630,604942143
6233,16647800
1903,4800080
1959,500000
3606,750000
1689,457163
1515,84785914
3846,1772000
597,100523181
2966,87840042
3710,528428
516,6000000
5492,2466444
2326,783112979
5306,71625195
757,163733697
100,9229401
2059,8555008
1830,309457509
4522,21500000
719,190000
4978,140705322
39,14873
6295,7770731
3453,69701637
5204,1381665
494,7306
4081,5900000
2335,263404
4298,4508104
5797,1081
128,46201432
552,141591324
1850,6538177
3266,88933562
1527,2260622
3524,64445708
3458,324138
3409,39481
5381,115664037
7372,10500000
2785,10000000
1074,10000000
7453,25059640
6504,9800000
6852,15200000
6701,6660333
7885,22593409
4634,8000000
7185,42580321
426,18197398
1072,7390108
5451,2521
1028,1778391
296,52322400
914,4600000
6657,10967
6473,449326618
2736,16775
3144,57231524
573,10013424
334,3
4106,15171476
5596,345872
7673,31596911
5146,1162635
7276,2852915
7921,312751
2541,88058786
6044,0
7485,14870
1853,50504655
7291,16668552
926,96618699
5884,11359129
1345,149295601
3599,70752904
2662,500000
1245,2736000
2125,164508066
7483,4250507
4434,10550
3303,9250000
530,36000000
6592,0
2586,12368234
3968,5000000
1536,16002420
1300,116980662
4225,1550000
2512,50671850
6831,701729206
8,34327391
3114,55247881
6025,21011500
7605,48000000
2195,346297
4424,520000
2236,8212430
2937,48418160
5897,585604
7920,41230799
6296,334901337
6051,34854990
5150,96085477
4469,8945072
6024,2503829
5551,306941670
6434,53647
624,84772742
6676,2281000
3838,2956000
5745,17286299
3106,130290885
2261,4557214
3115,19411
2279,31609243
6594,11095236
1692,2297493
2695,10000000
7413,203567857
3,16000000
2766,152500343
903,14134877
6916,338987
3430,152000000
2629,32709423
4197,18
1218,3218666
1523,1831348
7166,34670720
2870,176070171
6515,408339
3525,212483
1660,13275000
345,14681192
836,21520719
906,1084939099
2879,21300000
5002,20666667
2727,171760
6090,173930596
6343,42487390
7973,45895
1985,105097
1145,84500122
6776,27540561
5442,49970
3695,24185781
1793,25461
3455,422610419
3066,8586376
862,26488
333,3225000
4143,10178331
6465,3100000
1360,1000000
10,117235147
797,4631
5328,13839404
145,9188
784,12416686
62,25232289
544,20000000
1315,26010864
6150,869
7048,73100172
2809,9771658
5499,13007551
5100,19504039
7311,348840316
4607,13001257
546,105834556
6786,14296438
2413,660537
864,634074
1652,4710749
6216,743559607
6931,242988466
7686,112880294
632,30102717
2934,77112176
1647,78054825
5528,46748047
7553,3346257
3122,149270999
1176,25005257
7337,75871032
312,12
4716,18090181
873,10382407
4591,2122561
7509,589390539
3225,5155325
7760,53854588
4894,14333790
1970,7500000
5245,48531470
1163,2119994
6953,20796847
7687,197183546
7679,439564
3957,22000000
7976,50907234
7545,53676580
812,244386864
756,194720
3494,10297601
940,18948425
3984,1431623
352,9500000
5927,108758521
528,60000000
6708,22863596
75,24922237
7476,2013193
6480,767820459
7319,2500000
4514,3011195
4635,295444
825,15992615
7748,202292902
5579,72028752
580,8033397
1372,17277
2473,150277
877,38502340
7598,67330500
291,5367030
5060,0
4992,10631747
3038,13000000
4975,20419446
1949,6700000
3354,1691706
7677,10000000
2308,1277401
981,1744858
928,641
6674,117592831
6091,3813293
7844,368780809
7671,139352633
7366,4400000
131,5206
6408,128406887
4688,10000000
908,2541554
7081,116112375
4425,50700000
7800,1076075
482,35743308
2845,28200
1552,135130999
1478,4634062
5112,227853986
4166,15500000
5519,19204929
869,28000000
6610,60141683
1661,35856053
2474,79
5769,1005700
1974,20000000
6320,282382
6730,119723358
3793,3587303
6605,2049595
7018,103504
1331,1347747
6944,0
3339,6045657
2314,455815
5046,130358911
315,113020255
6724,1
2546,87000000
1059,191185897
307,22678555
2604,14166853
1967,25928721
5453,182016617
5011,9627492
2344,17800000
2093,25303038
5711,11500000
7454,134402450
3327,1938783
2849,16810383
1275,25000000
3424,3685862
3972,116300000
6292,2750741
2402,170268750
3627,45000000
4491,5290
7088,34573780
901,52164
6797,40828540
4738,7033683
5411,92158961
2405,3003
7139,4100000
2343,2400000
7875,635096
7852,15705007
6494,3325038
765,133718711
355,393970
1916,39673162
1901,251058
6177,80916492
3953,129394835
5700,21821347
583,25836616
348,3301446
440,337580051
5840,1653792
3978,19643086
6432,25100000
6768,73706
2286,152930623
4884,5279982
6464,77566815
4181,30718107
6293,81198894
3731,24467000
5791,28149
1147,1751330
7729,216909830
1350,5200000
3521,42000000
7563,158674180
4985,1065659812
5486,425368238
7835,86930411
7586,18899204
4090,5600000
2204,28169671
4675,314432665
2862,1268793
2097,655011224
1592,11000000
2032,25
7596,10000000
5846,8000000
2745,637769
1733,34100000
3069,32255440
3263,168167691
4001,17343596
1231,109449237
4897,212404396
3833,15942628
1682,13276953
7379,46000000
7879,3387000
2315,5483299
6018,2260712
473,23000
971,318000141
2609,3919254
2714,216166
7076,8826094
5444,32562782
4156,2963902
4934,131940411
1553,22321
350,121790373
6699,288383523
7486,670774
3722,644571402
955,1832541
2531,11300653
6689,85000000
2640,25434291
1799,66995253
3986,209073645
3651,30688860
4264,928760770
2484,30399676
7181,22944502
7444,54016370
428,1258000
4318,18618284
611,1983204
366,101332962
659,8135031
198,12372410
3734,333932083
727,219076518
6222,32406507
1510,118063304
4930,124494
7461,349183
2105,426224
2135,1045713802
7288,4493017
5928,118000000
1262,2970
7535,12991996
798,66456
2866,457363168
1539,1759252
3960,30000000
5542,9532895
7393,12854953
2953,19125401
3344,49800000
1152,50750000
586,4400000
588,5000000
508,3221152
290,254700832
2292,50656
4760,233555708
2867,1000000
523,122700000
2997,89456761
1634,200182160
3618,242623
4347,12729675
4570,222104681
6804,6000000
67,154120
227,26096852
6948,266465037
7124,8454301
3258,127730736
2781,13674
4721,184890
6556,343847
112,93820758
5472,7553105
2771,18564613
2029,35763605
4438,79258538
4968,222559
2726,38058335
1508,13130349
6324,5708
7704,138241022
3619,407602906
6084,5169755
2307,1246141
3477,3981000
6437,7683267
1155,5332926
7991,64783827
3147,347234916
1073,123820
5946,274925095
2149,138259062
7699,1145404
999,17808
5138,3110000
6895,2500000
7277,88000000
5496,3006000
5509,15700000
6404,30050028
2188,1980338
6845,152263880
4323,3966256
6905,791217826
6285,183987723
3931,8914881
6102,154701
7452,374743
4892,15000000
3717,89792502
6973,180557550
2874,25
2418,113374103
1434,23859
1349,15395087
2237,2691899
5236,113916474
3341,35419397
6942,21302121
1446,8674093
5256,21660
2561,17000000
7749,11260366
5653,789804554
7394,4500000
7062,42664410
2098,182857
1842,27900000
1590,1031243
5564,18409891
2825,100000000
1295,87987055
559,37799643
5750,40547440
3716,61947267
6677,6742168
3355,467363
6541,246574
174,29007412
7742,17500000
3456,1320005
1307,144633
2459,268426634
1511,373554033
3141,2159041
3125,890871626
3271,25533818
4038,1791328
210,26570463
2362,35022
7467,32801173
209,108103450
4983,4358000
4044,17807569
7871,48919043
7982,4000000
725,71561644
6168,144008
2030,112892319
28,5849647
804,135680000
2780,64350171
7225,1162014
742,4270000
365,424760
5062,40050884
3740,329803958
7073,27769
216,83061158
1060,43984230
287,6841570
5369,15172408
5291,145793296
5597,31500000
2163,185898
2478,68729358
7633,272912430
7753,57504069
3634,109421911
6810,18344729
5755,7000000
539,621951
7552,13350369
1110,3021629
44,47175038
1972,415440673
6574,22942221
5541,62493712
6399,110206216
695,2
1288,8844595
2955,29536299
6483,2340363
1468,5000000
1164,53898845
5498,167722310
2106,1103757
2676,5300000
1181,222231186
2133,11087569
5158,48198019
394,72179579
5526,29000000
2158,34808403
550,97837138
6035,68072848
916,28451622
3071,9851610
7842,267447150
1669,58510
660,132511035
154,5091888
5807,6981000
5481,151530
2960,1163967
2421,11576431
4025,766075
700,38748395
5500,20298207
4901,108282
4008,450717150
1686,9012000
2187,3193102
7051,11690
5094,44462
5955,3000000
1996,69411370
595,214000
1549,230069
863,2642899
4816,39687
2038,43848069
463,126297830
871,48720000
2777,17300889
5344,114000000
1533,5979011
1943,26155781
499,473226958
2971,15379253
6165,17979739
484,3335984
4643,263941
2721,123509
6333,156563139
4089,531826
4761,47355187
603,53478166
173,2807854
651,12232628
1092,3082901
1024,20045115
1839,138913
7992,1397284
2403,15691192
1464,55635037
5093,6582052
2086,12036149
2243,110879513
605,11000000
5886,11511031
7838,12201255
8001,6075
30,426480871
4188,7235
2739,631442092
7026,143101
4222,50710400
197,77920346
5717,23563727
6336,235926552
5107,0
6935,98441954
5684,18564702
5660,296339527
4754,126069509
7766,179265204
4799,3250000
1346,5
7910,20648328
5999,15340000
4244,8638072
1804,4307000
4420,1275000
4698,158162788
2655,378667
2554,152961
7937,72108608
6453,64191523
4343,70442940
2342,5330000
7891,4105187
5271,116000000
5131,5750
204,10000000
1388,31894
7037,5634828
6976,1437000
3335,7177431
5092,354704
6641,28831145
3479,21164799
2161,153083102
5990,5639730
2854,5777916
6956,34061097
7696,11988469
5038,1153296293
5406,56032889
5584,1458000
6236,14758997
236,5600000
2568,14056528
1612,154864401
3590,566652812
2462,6212282
2330,81381
2515,1851517
889,13102295
378,19478106
4470,235262
2339,7100000
1134,40000
3054,5274
5707,40577001
6901,4777465
1858,7096000
5766,10835752
2108,161451538
4520,1882074
6908,53293628
1808,217201
6147,60000
5159,65784503
2682,4000000
2076,4542
961,933959197
4313,27453418
7703,36020534
7473,53213633
2628,1185783
1971,10364904
932,159055768
828,7266209
2216,5659286
6678,8762890
1420,1449945
4882,1262091
3628,57319029
2110,12000000
6870,81303447
2908,8009329
893,13000000
6197,27165581
6981,21834845
6259,2062066
5593,43935763
5628,16809014
4530,5802422
4571,90404800
4408,8000000
1269,4371000
4254,1056057273
2860,77737889
2861,102825796
923,191125
6482,17511906
7024,16000000
6987,225861
191,79700000
1031,11125849
688,11294
900,16863583
6275,167221571
7978,15578237
122,5585154
894,100020092
7437,59744
1732,47000000
7213,27333835
7710,0
5259,14000000
7387,11833696
3037,251775
7425,140470746
1391,5475058
3486,5781885
4345,64822796
2530,86658558
1722,51070807
7944,10312540
948,300400432
3936,13609396
213,31000000
966,30229977
3316,90753806
6589,657827828
4494,8890685
5298,960040
4477,10629321
5324,105232691
7156,1243961
3459,20225989
2794,43528634
1685,159330280
5508,403449830
602,117487473
1282,6000000
3052,64188367
2936,9392
5869,206128
338,27610873
7743,11875866
7207,23650000
3958,9000000
762,70000000
1573,973525
6119,2000000
1428,78309131
694,5979292
2011,70200000
8005,35509515
157,447784
7579,7018189
4353,411115
2446,10400000
2564,18317151
6103,82966152
6142,1296000
439,285930
7724,140807547
2657,27500000
201,3916303
3191,14356479
3788,26386000
4596,14867514
5035,104907746
7043,442824138
1658,83398
470,1672730
3871,149673788
7709,516642939
6226,30156002
4807,48125
2054,4000000
4153,2633527
731,56666667
601,60273173
7401,152944660
979,2189047
3027,60000000
397,1919653
3365,304320254
3857,46733235
3061,3650000
5753,342695435
7123,574480841
3332,6420
2285,1200398
4709,75026327
1571,84601681
823,1250000
7809,23717291
5130,3000000
7690,29110
5756,399
2460,82466670
644,55240
3152,3003169
2700,27409889
7882,43042835
2366,59700000
5754,9056073
2608,7060876
437,160583018
5540,21011110
2303,53267000
7466,94073028
4274,1104000000
7625,82169884
4981,12005838
5476,41299492
2493,8679814
5595,1910
7768,74679822
1278,16554699
2085,11000000
2294,147542
1417,176997168
1104,3342697
954,1982505
4683,173921954
4706,6815056
4073,82102379
2508,14624826
581,461162
1150,9250000
1186,680224
4940,282570682
7942,3606395
421,40996665
7231,2105096
6800,2847246203
341,60527873
1712,8342132
4226,96455697
3389,195243411
5186,288
7738,3910019
3432,153997819
4613,1710057
1018,47042000
5864,5000000
6272,895921036
6859,20047604
7119,177512032
7314,160259319
761,59209
4239,326551094
3210,40716963
4302,99318987
4617,351040419
7757,44872
51,25333333
2441,14418922
417,373530
6697,92542418
2594,66559
6538,1500000
2755,24332324
5599,406881
7676,8620929
7880,69995385
7576,18000000
3849,23237911
7841,3550000
522,28883511
2417,4000000
706,14363400
6076,3713768
512,2500000
5880,306776732
1356,25000
3267,179033791
7069,20416563
7363,4257354
3759,63523283
1937,25196249
1626,540152
3216,47405566
6735,195735876
2663,107597242
5127,19724334
4875,242786137
2181,43579163
1227,2200000
2284,68000000
1456,6792000
37,189859560
3463,8821329
1610,9902115
4176,31070412
3297,81350000
2077,1501785
758,24134
2532,1021103568
5443,13300000
7071,42345360
3845,479099
4111,18472850
1359,3639345
2958,22730842
4186,44907260
5941,79567667
904,202026112
3814,66966987
1636,1697294
769,4192440
915,61700000
590,9016377
1627,28400000
5501,524028679
3151,1000000
1199,416498
320,750000
7739,2360561
6856,729043
3650,321885765
4793,45300000
5361,17014653
5610,1068682
5842,0
7038,2080046
8002,9496130
6834,5400000
1844,1046166
7143,299288605
7230,8642858
1708,48668907
6911,54000000
3252,33965843
3856,393616788
884,18315000
5482,92863945
7334,33556631
6020,30800231
5111,150000000
2851,12303411
5125,7027290
4006,119000410
4764,101595121
7247,18730891
3744,39171130
5014,5217498
3485,414404
3003,0
6600,700000
2611,84431625
1062,1404
6138,13277558
2814,1547397
5049,0
6704,224920315
327,60965854
5747,71923560
7117,1183258
5122,20710513
4639,185991646
4864,78898765
1531,189712432
4407,97000
2693,33456317
7752,2106838
255,7800000
2602,538000
225,6585516
6089,3395627
2894,218626
7812,0
7450,35134820
554,95789342
7548,538400000
6546,44998252
1268,25605015
1351,29907685
7969,5839164
5373,22222308
1404,6804016
807,138730
4902,58878723
6782,7766240
172,12000000
2295,5255
2551,23619609
4245,14894347
5410,581011
7239,37317558
637,150816700
7388,41624046
1532,59389433
7113,993313
1375,41627431
5514,44726644
6191,9346177
6791,279735
3735,1641825
2871,23367586
1203,127666415
2759,13
4270,9114702
5000,29331068
1667,596349
5988,1237615
7421,21200000
6038,76398
6955,38261
344,50549107
2730,116700000
7077,2039000
3100,825532764
4583,553171
7526,1750000
3611,34700291
268,23937870
5749,39842
1736,23507567
5507,65535067
919,3832228
2578,2200000
7332,6746000
4677,1705030
2917,57041866
6390,378827494
7995,89519773
2523,3661757
7680,51880044
2157,52287414
1948,204
7075,2400000
6907,3154346
1933,173000000
7638,15368897
7226,77156
957,1479042
4961,2566648
3353,712171856
7419,8000000
6265,626057
2976,15427192
7431,7500000
1806,46495
6669,18642
5625,34266564
730,1999955
2603,162000000
6603,66166000
2698,2387127
2615,11798616
6400,2510433
5231,18100189
7806,12643776
42,24362772
2680,966878
2123,45742101
3269,566611
425,641100
1507,16017403
3426,1500000
7218,69497
3592,10871449
7967,104876233
6506,28013733
1710,42724017
7039,127067
1966,11650
7116,25781
1672,66821036
92,15000000
1055,525
372,91753202
446,875386
2174,37598
6477,179381
1679,248000000
6439,36993168
2749,1803009
2732,485772
2290,87055349
1204,35114428
5424,4793
94,20117339
4705,13035599
5220,90275
1317,499168
3531,2181987
3319,6854611
3192,1120000
2275,21786738
1514,52882018
1993,4571025
2466,26250020
7255,1118888979
7555,8000000
4907,14155617
1988,21486757
1320,470490832
1229,215283742
1154,16519460
2074,404785
1398,18626419
7521,86175
2638,188441614
7259,62357900
7847,27953
4497,30925690
7261,11585483
2489,40120144
1516,163670000
4636,171269535
7985,70016220
1747,18663238
1125,105178561
1046,1519796
5153,1034214
2355,23875127
2129,13983
2352,79666653
3803,1281176
4964,130541
326,116400000
1025,4187
379,830129
1895,3000000
1537,7000000
1414,65754228
2569,7242035
921,11642254
1680,900000
7220,35000000
1540,4719695
7999,53830415
2910,2279000
4145,79817939
806,18492362
3320,91627228
5568,104945305
3719,11000000
7408,5867686
1851,38574362
5054,189198313
5712,92921203
2092,168180
7260,115375850
162,3200000
4921,55000000
4428,3748295
6340,101564935
6960,10600497
1216,13418091
5569,63027681
1580,10750000
5626,1160268
2627,62882090
7190,288747895
7243,39881
496,3600000
5698,6723732
564,930349
7111,527000
2042,300228084
6719,46905889
3705,3460466
5084,80640528
3566,44287131
49,120000000
1835,7282851
826,64076736
4087,33962
259,140021
3109,4420000
777,331957105
7109,312016858
2476,212385533
3429,7547762
7684,108808
2930,30857814
3654,346147658
7292,712216
1201,71009334
7361,9868521
6230,12884923
992,3202000
7881,1700000
2797,8200000
3132,1600000
7529,69485490
3346,1400000
390,10703234
3467,12058187
2419,141047179
4389,371396
2772,3324330
4241,96900000
2964,589244
2031,4000000
968,163403799
7102,52545707
6608,13801755
1195,94882889
7583,83258226
634,44527234
3224,27462041
7515,31672907
8007,14225876
2254,53191886
953,73244881
1812,14393902
6878,49101993
5939,30000000
3792,494471524
2625,52761
318,27793200
1312,90259536
3778,247022278
3975,22217407
4997,203388186
7909,4825184
4925,35000000
4155,27000000
5086,0
3452,223959
5278,56000
2325,173013509
2221,4040588
1982,190458706
7280,4
7216,10250000
4974,8235661
6034,35492921
6314,90574188
6419,706685
7126,299268508
205,2801508
2522,5923044
2499,160638883
1879,251171807
4426,3675201
5952,7797728
4248,171757863
5638,49114016
3137,56500758
7430,6732980
6652,9206470
1419,1179676
4405,317000
86,106260000
1645,3692836
7436,1814290
4814,3547684
2534,54249294
2507,5967038
5701,273339556
7287,23580000
34,258022233
2839,250288523
1947,20719451
3215,3786801
7198,47817020
3913,783766341
2213,67872296
618,27092880
4876,3643591
4922,187145
6373,5730596
6963,2000000
5794,115101622
3436,29370592
5128,10337477
5921,296482446
6525,114281051
6145,31973249
7446,365248
3232,6706368
6493,70692101
1602,3206713
4836,9938268
6406,44852
4078,80
6407,5578519
6183,21001563
2215,105610124
266,56255142
558,46152411
7534,327418
7913,18074539
4723,5
2126,863416141
2968,2405420
7674,46396427
6850,821708551
740,2692037
1499,33245
4473,11207130
6391,4836637
1200,51723285
3469,33400000
3321,17626234
7730,29381649
4867,257850122
6673,1500000
2394,147934180
1416,17530973
5524,38869464
6822,72629670
50,1500000
4776,57806952
2475,373552094
1182,263920180
455,4910682
5109,1362303
2669,346079773
3593,112156811
3110,14100000
5239,12671300
7778,11790979
4937,287594577
2813,18340000
5771,65569869
423,29657751
4686,15122000
7114,58972904
4572,33231264
692,180622424
382,2000000
