,revenue
45,4300000
4941,102278712
2480,18800000
4577,111811453
1687,1718328
2559,38862717
2088,2841000
5468,1659542
6403,266614059
1932,51854875
5030,134212055
5358,6153939
6380,13030214
3977,32300000
2500,19829957
4885,9409000
5238,2413427
317,286140700
1454,31670620
7578,0
1257,337812
3314,175302354
2898,178051587
1503,989000
7019,58058367
1343,20256975
704,59908565
7070,31556061
7801,19526014
2716,49601
82,91974818
542,40002112
2439,26199517
3709,9489829
6433,497323
793,10959475
2382,18124262
3059,370569774
6460,1611000
5563,28
6212,202404009
6798,167298192
698,9077700
3330,741875
1133,11540607
7086,4398938
6665,97571250
3392,11384015
7796,7449681
4910,33526835
96,3358
3140,148671
6347,203509374
5357,3499442
1678,770706
2002,59217789
325,294456605
1424,7840873
7539,3442853
2082,2506446
7678,0
1684,4864560
2159,76578641
1965,7936012
667,340911
3298,21058000
6450,792200
4528,4500
4540,2800
2810,8034
4777,12376563
835,1305887
5685,198685114
1284,21665468
562,196482882
6658,64282312
6751,46352
7172,2832826
1824,4750000
6304,735099082
4116,129181830
6958,11019975
3417,20867919
7895,100605135
1960,88545092
776,49554002
4838,8538318
3068,4800000
1827,33053559
3609,20000000
353,10229331
7054,8279017
770,25035950
5576,93888180
2959,4600000
4146,135560026
1208,213954274
5918,172842355
332,346592
3840,1558836
5042,22244207
1168,32788
7951,366101666
2945,37600000
7618,39404261
6471,121969216
7561,41512007
7609,34604000
1172,2681345
2752,3221568
311,12250
6414,8091910
5603,3538446
1820,220151
6789,1128345
6395,60331447
2440,56308881
6257,2685453
1544,1055287
1517,14000000
6875,42330
1160,2636637
7027,30400000
359,93525586
5303,5728213
5895,22743674
1210,75450437
264,143597
3359,40836
1135,36800000
5793,18088
7210,15360553
7820,23144499
2841,153518974
3527,99255460
2485,362637473
895,5438927
2393,694438
4429,113309743
4736,42064105
6217,2859750
2646,7778177
1006,30
5360,0
3446,3000000
2729,498814908
5985,111476513
4083,118243066
252,5001655
7264,21000000
7955,314975955
7536,96262212
288,23510601
7369,6739141
5704,320689294
584,1083282
7053,1782005
1489,401421
1234,186438883
5166,122200000
4267,15445131
7826,48548426
286,276921998
7884,32054369
1638,30231200
1146,161410
3848,160078586
5266,6294161
331,5837674
4742,150166126
2207,261317921
4109,27400000
4350,60378584
2318,33208099
1649,2697930
7152,1819410
1041,113006880
3331,1359910
2073,49111202
3107,27645491
2404,154026136
594,32648673
3336,20345361
5235,195702811
847,2642983
5796,14332467
2902,21833
7747,95708457
6817,39053061
7977,101543
3495,10765283
3437,38119483
5944,414211549
3595,164989338
7890,3250000
556,4878242
6644,352810
3987,60896147
6238,616938
5959,1100000
3625,10827810
7949,3769214
792,73180723
673,38376497
6846,976475550
5837,90683916
141,31466789
2840,1124445
6497,563749323
3292,346472
7496,11724119
752,21350
6683,100014025
712,120455994
4979,177394432
2549,1524966
3045,5179037
4306,2247500
2907,49042224
2651,6800000
503,13071518
2302,65335
1061,8692426
7825,214034224
1246,40272135
2673,300653
4,3923970
2942,117629
7343,23123592
7144,32980880
2365,794452
1408,23978402
1093,245066411
6426,0
4575,500000
4711,30655
2518,201596308
501,52034889
4403,48965210
7262,5000000
1991,6482195
1016,114830111
5008,876302
1089,28641776
3493,16153593
134,33000000
402,8251
3990,36433975
7399,1645711
2804,2040920
2084,5844868
1984,225990978
1368,9000000
1387,205703818
2443,698491347
536,19184015
6495,90810892
5865,51142659
6784,74189677
6032,13015688
7085,62616646
7961,1929659
1589,3384747
6733,10278549
911,1492523
64,17654912
159,18552460
6830,17460020
2334,22896728
4499,12633747
4529,13994920
7900,7478354
3078,30426096
3859,60613008
413,966214
7874,76196538
708,206172544
1471,102308889
6714,108255770
1301,204660
5839,1608570
6344,18381890
830,161000000
2791,4630045
6820,33232
1487,6321392
2613,8888143
2973,4122748
2252,108047131
6937,444575
4868,395000
6167,21268
3260,2019469
7327,350448145
7370,170000
1585,12382362
6809,17600000
5463,76801179
1251,296000000
5892,102223269
4680,20458340
3333,179246868
600,356830601
6726,5396618
4909,10422387
1393,151165787
6182,20036737
5703,46704056
6529,142940100
2375,95673607
2203,1896244
2297,297138014
2656,180274123
47,155760117
5097,16661077
5371,88761661
5485,40031879
4187,677700000
7034,216197492
2049,139804348
2685,17092453
3727,31623833
3630,17350
5800,57479076
4247,41
3785,11000000
6505,38251425
89,140081992
3264,16951798
6961,65977295
5374,3542353
518,820580447
1889,13204291
6209,65900249
7021,2300000
5580,60161391
2224,536364
3844,18707466
6228,371353001
6840,12500000
2897,16991902
6772,0
3961,302710615
897,18432000
7023,69131860
6431,10000000
5148,7292175
1654,1261947
4691,49830607
633,330579719
3487,124731534
489,609524
4432,140175006
273,83761844
5557,808114
1934,59468275
3421,7938872
7281,36000000
872,3106835
386,12000
2542,34705850
4841,3029287
2827,10224116
97,73000
5916,3274
3097,245724603
1221,7185518
4412,23530831
258,2287714
7065,3102550
4017,107071655
7374,5028949
5339,39321715
1520,21134374
2987,858591
7252,252000
964,921548
7701,1126525
6040,809342332
671,5900000
6932,14643997
1394,209154322
4478,101758490
5658,127392239
4487,131426169
226,28931401
4258,173959438
7495,85978266
7238,26632
7902,8
4076,14742
7042,8345056
5612,7000000
625,146900000
4361,9381260
3460,632542
93,2724474
6187,10611160
6860,47431461
7647,31309
3427,13940383
4969,76347426
3307,14860766
4427,177856751
7508,2735731
2027,2640850
2944,89460381
7058,30000000
1720,85313124
3574,80035402
292,163442937
3449,302000
2488,102391382
6941,122195920
7641,11567449
7004,35300645
6235,42067430
6481,1310673
2592,157768
6947,40452643
1877,41296320
1572,76000000
5301,951179
1285,41482207
6703,18164139
1574,6700
5559,41590886
5547,362222
5059,25174316
7197,831000
1718,1248748
4720,443280904
5197,14681661
810,363889678
4265,0
5705,55030051
4893,105090
7931,813367380
3063,21630088
2177,61141030
2391,141195658
7250,154749918
2521,74134790
7974,18720175
925,75143
5,3261638
4352,172363301
1782,1305195
1158,174578751
6411,2983784
6511,6632383
7660,12000000
3662,270665134
7193,209838559
4387,3184472
4320,94000000
2865,8927600
4160,770132
4431,78000000
7178,325286646
2138,9700000
175,207283925
6672,5000
1836,73174566
2712,18564088
3926,1
2172,133000000
6502,18196170
1848,72070731
2619,19985196
7035,17976667
576,48878502
5333,850575
3420,30303072
5199,115505027
996,77000000
3251,41509797
1189,2019000
2881,165478348
2735,11657385
480,1300000
5479,2411145
3519,33556
3490,130293714
3461,4037782
4184,7871522
5565,13231461
1816,288312
6720,17507368
5345,58809149
7200,23081726
3605,189833357
4560,11000000
6030,310650585
709,10400000
2543,12706478
2832,123384128
4471,302179
7056,30500000
702,235483004
5817,17040871
606,228984
2986,16605763
7391,36911617
4309,354835
6273,37000000
4165,26385941
6557,5260000
5347,1115493
2089,79958599
962,141407024
2039,10113733
6485,7267585
3914,7000000
2802,876688482
4446,7266383
656,20079850
2245,30411183
6785,1341511219
3548,173398518
63,14000000
7639,63710000
180,31148328
319,68706993
1713,101191884
3032,103039258
7807,152322
399,7820688
1156,1750211
1622,43719
6896,342835
6318,15185241
1171,54819301
2178,60427839
1787,382267
861,97542952
6417,809000
6539,6
5828,100000000
2396,204594016
3613,119100758
1891,125400
3259,41424067
1973,2120439
617,117270765
3105,261465
7990,0
1618,229000
7569,1883811
2747,2003822
6839,2415472
1281,46
4990,23229371
1012,115350426
2312,3117985
1795,2000000
74,2300000
6526,22773535
5814,23278931
7005,252603
256,203427584
6564,327311859
5938,484592874
2589,68915888
5690,370541256
1057,187361754
5772,68945
3112,551000
2430,10000000
6794,84967
194,744816
107,210000000
2581,32556119
4198,4786789
2122,166775
4439,5344577
5415,1600000
3476,161001698
1897,54600000
5691,8000000
6946,55282
5145,278720
78,35610100
5212,8500
6300,85564310
3995,127956187
2080,98185582
328,20529194
2778,190320568
5013,29800000
7856,23341568
1279,2228115
3440,9494789
4200,618638999
853,36611610
1309,369330363
3796,57138719
6303,12800000
7929,44909486
5546,614202
2678,1081957
2399,15
1918,15240456
3425,8862354
2095,10068
3101,834457
2919,13000000
5279,33771174
4357,75395048
2323,7940
465,18782400
1149,2750275
7279,25871834
4482,5000000
4443,9171289
2013,100544
5294,13260050
6877,1017401
4601,19633027
2783,102244770
2397,309492681
2378,9789900
6527,10047674
888,368744044
782,332000000
7203,17218023
529,38159905
7652,1220058
1559,9479718
1377,165335153
6685,137587063
6968,12000000
7893,148461
2427,1347988
1604,7175592
4011,34564651
1998,119940815
2580,45431
1600,6808550
7191,658000
1115,185438673
4235,49779728
7997,45361000
6045,116471580
1513,1631839
3056,4278150
4911,61768190
3070,183640
3312,12947880
7378,501533
4399,467365246
2545,50548152
504,11750000
4196,12454768
1914,12923936
7905,296655431
5202,2333684
7324,41939392
689,850000000
553,11081586
7627,73090611
5899,10188
7984,40717
4409,153155
2708,6834525
4368,21633874
5609,224834564
4880,64088552
635,20158808
6647,14000000
1890,320395
1740,26079312
6919,9420546
5591,49483352
2052,385284817
5802,24000000
6653,123729176
4960,35401758
7523,74000000
5376,261989769
123,91036760
1319,495303
7007,29400000
6836,54639553
1389,165615285
6319,201957688
5555,34100000
713,10166502
4569,1677
2442,106303988
6283,8020
2570,305875730
4543,177977226
6354,130431368
5475,361712
4597,36450736
6979,21571189
1447,3000000
1755,9216
6278,691210692
2822,41637263
3963,1423000
6355,80253908
6996,3045943
4602,38120905
5190,362744280
3062,9500000
7510,249083
6189,12400000
2513,12000000
4072,3500000
4637,850225
1211,871279
1845,14697005
3265,46236000
7580,76432727
857,383257136
6096,19980
570,82719885
5592,14710975
5872,23218000
5402,31070211
3867,88273
124,60722734
540,128388320
4262,10696210
753,58853106
5198,6530000
7827,41400000
507,102367405
7592,33788161
5695,636706
4594,5576725
6827,6485961
7692,1997807
8009,7202
466,270000000
3253,52096475
548,81705746
6490,15007991
1422,57284237
7443,1066969703
206,1543112
4359,7294403
7789,12918858
620,177841558
4710,19145732
7868,1214811252
7235,113280098
3130,121179
941,758539785
7519,42000000
3779,35931410
7702,376141306
5045,9000000
4914,47088990
4236,57500000
2855,48482
4506,8556940
2128,8373585
3930,77912251
5803,265198
1593,92374674
748,34153101
6570,21591728
109,34562222
6965,39388
4430,7788597
6992,27437881
5330,27575086
2598,7241180
7478,39267515
6816,8618766
1811,435000000
7904,211817906
7587,200276000
7265,150270147
7805,4762337
1867,17037887
5152,4662137
5272,2379154
5448,13831503
7511,801000
537,335062621
2470,15014674
4367,124994
2162,38290723
4813,133752825
1869,100489151
3565,1062253
5644,15795189
5187,245527149
2198,179000
2815,86175291
1022,44057737
666,958400000
6046,15
741,402539
1643,311256926
1357,544476
2929,50907422
2201,6147
1271,14904
4220,16174377
2246,4417667
2087,44030246
6508,6581915
2114,37930465
3973,86273333
2048,6455530
6801,3360000
2649,2620000
4474,676525
1495,2154540
1597,66468332
7547,14000000
3370,31132592
7735,289317794
4450,135330182
6428,226830568
3228,12890752
7670,4574762
1986,357852395
2760,13380561
1995,235666219
3612,9918093
3703,476684675
6771,37020277
6781,14056
5103,12000000
3099,447741
2596,840000
6221,169332978
5064,4212494
7475,402805
1310,18000
7675,9000000
5454,26527510
7781,97009150
249,14560084
7032,2944752
5863,50315140
2026,10499694
161,12277096
1071,42776760
1365,56825
7273,894964
771,18130000
2401,37000000
790,72266306
6271,88880821
7125,21200000
267,3151130
6971,12186625
4451,18254702
4205,71664962
7145,13300000
1126,1519557910
2748,189015611
5819,12000000
4958,42300873
896,114194847
813,21000000
7659,19000000
1228,16974459
1247,30448000
2506,75993061
393,129832389
5251,10217873
7498,448900000
939,2227000
452,1009620
3530,594947
6643,55736588
1564,35485608
4544,13680000
375,17374595
5065,6086224
1725,124914842
7751,50817508
2063,6861102
6922,5405500
1140,229400000
2996,180590
4440,18035000
6752,10000000
1384,132675402
6543,50012507
6170,10626725
1344,10082
1107,8352885
2454,44000000
5977,175705
645,1000000
3804,91196419
7100,103071443
5124,92076
6686,8265
3261,11400000
7603,55534455
4667,1066471
2652,11000000
4784,125537191
7582,9200168
3518,3704408
2779,56422687
2248,102984862
1137,15400000
4037,19844979
7854,3000000
7179,18637690
7611,458232
4263,127906624
6444,218122627
3604,3028094
6188,3275585
4929,41037742
1821,62153
1101,119919
2956,11949484
723,1044824
4314,3020664
5207,4160851
9,18750246
6980,51138
3815,67800064
1750,6933459
7600,346485
6420,385680446
2482,56681566
663,18112929
4713,33372606
5139,23578
5061,10631333
5375,1583687
1728,3665069
449,5989640
363,25762027
7994,12600000
1535,819939
535,9323833
521,365522
6582,814666
743,39340177
1528,21026290
2353,13000000
6267,36351350
468,318982
7707,62000000
6604,61276872
3916,95242
11,22642033
4068,2800000
2490,6
1557,142400065
4837,26251899
7630,1400000
2885,147315
3699,14567
899,19000000
1488,10198357
3250,225358
5744,5364858
629,12413650
834,36160375
2179,27642707
5228,4594452
2075,74918
6282,22000000
4791,4781454
7810,27640028
6037,431326
2620,100000000
3791,85897593
3364,791867
7174,16228448
891,37962774
2800,91354215
3002,34673095
6925,44
2336,66132626
7433,13218980
2148,22707064
802,453079
5882,302204
1938,20211394
5286,244931766
431,96060858
4938,5728953
557,22456509
1441,3775000
5932,126041322
4022,1430655
7267,72785169
2118,10011050
2147,33395426
4517,8112712
5399,967000
5101,57
1426,107196498
2576,187716
5930,14575193
5085,11000000
7664,39363635
5993,22963701
16,57891803
6078,924317558
1907,112462508
3721,29888235
4588,48017402
7499,2853801
5534,946461
6619,242875078
6299,3877492
1778,17508518
6867,2856712
5813,4858139
1878,53086
5879,13624522
5308,26713187
6457,26820641
7886,11532
4606,56106607
5613,907456
1299,37285
2829,2033165
6436,9789651
6545,96542059
1484,76586316
357,788241776
6049,30526509
6398,38629478
6095,9644124
7683,64762724
5053,197309027
1927,62000000
88,13162475
1928,117719158
1904,49998613
532,9697739
5663,226904017
1053,928391
4957,4884663
610,3769990
7795,40423945
4532,1678874
5115,65352
5163,170432927
6583,67000000
6777,181674817
6284,2614773
5830,485930816
599,42930462
6149,42931041
1894,849915
2232,23450000
410,183316455
1814,4635143
2951,18704595
4566,17193231
2610,11083449
1403,44352417
6498,3793614
498,25
1065,311312624
4539,5656087
7926,23006849
4753,16361885
1591,53208180
1885,1535558
2230,9132000
833,65497208
1883,17137302
1083,52970014
4472,6126237
764,8800000
1621,1606624
5635,98900000
8016,53977250
7357,33035736
3655,8095658
2420,4100000
4740,4064495
2601,106269971
1555,19179969
1492,147780440
6729,110197
1415,20374201
4480,4720371
641,97437106
260,187349
73,17393
5240,4529843
707,13769
6213,26657534
6707,55089
4801,92000000
1175,6149791
1260,3099314
2911,78000586
7479,55260558
4124,18144030
1435,15520023
736,30000000
4523,96773200
3222,3447633
6982,1667192
4774,33754967
4745,2015810
4877,22905522
160,113783
934,171539887
2096,127251
5083,107670357
6835,53187659
3120,6003587
2064,129115
1841,6405245
1042,347451894
2253,307076
1969,343341
2194,93282604
3254,12096300
4900,851545
3517,15719109
1620,127600435
5702,2955917
5871,25105517
2383,3
1925,311245
1438,2459895
1561,19595031
4693,8083123
7164,2967668
5268,1075178
5662,67200000
4790,169327687
5470,16140822
4468,29200000
7222,5471088
1790,19905359
3145,10759874
5352,67182787
5206,249204
6576,59945183
8014,35402320
7903,341631208
6926,231449203
6274,47774193
1078,14347000
5149,4210454
2567,41000000
814,42277365
987,23570541
4004,2000000
125,7400000
4009,433677183
5649,114501299
5989,1214198
4234,37672350
3807,3770657
4580,6582065
3520,214179088
6144,237202299
767,121463226
527,41819064
2975,57881056
1330,8100000
931,645135
7892,12482775
1773,1133031
1129,2850263
5525,70569
6524,319713881
7612,484592
3915,300218018
2169,23800000
3954,54667954
5462,5788176
6717,2347000
7165,150680864
5647,389681935
6386,17080167
2895,71069884
7989,37597471
376,100491683
6734,33459416
4253,228738393
3998,1059804
4704,21288692
6019,60874615
4047,240797623
7169,198992
7106,793604
2019,69307224
3219,104324083
438,50888000
6456,0
2116,185260553
2346,50100000
4982,336472
1250,5476060
4787,209196298
7342,16504936
1992,6000000
7385,170215
4046,12600000
5403,74865517
3388,10000000
6384,113714830
1352,11466088
2563,17000000
6780,2000000
6778,66207073
2152,20342161
6709,3002884
7851,100129872
6988,1411927
4604,12348905
7030,6600000
5359,4137645
2553,3721911
2012,141220678
6588,0
2916,10589102
2641,6166819
7147,220673217
4296,83073883
6185,6063556
1633,133949270
4316,5800000
6227,7563172
2186,176153
2034,152036382
4567,161362
4585,857611174
7754,124881062
4725,42045846
7624,2020700
2436,3376375
1753,20666
1068,9518342
6649,103735
274,250821495
2724,32721635
1084,254190
4730,25804707
675,11411644
1020,87600000
354,10089373
683,183293131
6328,13644292
4762,45172994
2070,10878107
1034,38901218
2630,17986781
7050,7000000
4707,27762648
3412,18479
7857,14793624
3800,63766510
608,31576
6796,16500000
2376,11100000
3988,15934737
4362,123218424
5457,299200
1185,810455
4020,177427090
2660,30471420
3046,11502151
3591,6797218
6808,25000000
1267,46488
4785,51053787
7091,3752325
2846,260696994
3713,42000000
1383,178127760
545,7000000
2406,65046687
6157,30120671
119,18814720
567,36893721
5466,3302463
7006,131457682
5218,49263404
5283,779137
4395,5100000
3615,2341309
1266,68411275
2360,939101
5598,2160298
461,147880543
4781,126690726
190,16675000
7328,533679475
3118,13405595
4881,367638
630,109502303
1355,162242962
4107,306724
3657,1301121
2816,2891288
7326,269980
3910,9600000
5162,233093859
729,500188435
2741,2725258
1458,3031801
6964,2000000
4805,35564473
2226,8000000
3096,183097323
2444,694497
4486,11480000
5538,587204668
2175,17336370
6661,124518
959,65088797
4110,7523634
336,117698894
5654,1477002
3678,205843612
4603,5617391
2045,114660784
6210,77944725
766,24719215
323,161626121
2776,7563728
6467,24854765
3811,1247946
1873,72287783
5480,748453
2509,3453043
7741,43095175
4210,49469904
1241,52293982
2006,11348324
1021,108000000
1683,1878561
1776,570000
6913,13401952
283,23550000
129,5731103
619,4971340
3751,206909
3729,12532777
2607,25900
4773,190212113
1715,369907963
2043,29010817
5241,270210
6690,845188
6339,20851521
1756,88658655
699,124827316
1919,2043704
1796,95000000
5408,60040976
4611,2995811
1497,38610009
7084,3430018
276,14000000
1945,712294
7782,32474120
7755,1434436
7484,183953723
2912,2616503
7864,9439660
3712,85131830
6043,38535221
3596,349779543
1579,121059225
4488,16393000
2037,130000
451,1787926
7331,266665
646,94000000
5490,52302796
72,8266343
938,1938
4972,18869631
7559,7433663
3287,2360281
5761,69766619
6491,76488889
1474,62548947
3718,8000000
5743,7537453
4733,21878
2988,105656
5058,108145109
5714,490475
2364,160602194
6338,18753438
7158,9950133
4936,20146880
881,1025491110
7439,368871007
6849,55003135
7464,26042
2704,16093651
3124,6892000
5923,38000000
60,599045960
1106,2300000
1376,923
68,13129846
1690,5240
3108,200804534
1142,8247943
12,356296601
1,95149435
4208,603900354
7968,67790117
5326,1165882
3616,48451803
6716,10337387
4671,50236831
26,13835130
7728,28890240
1400,346864462
1338,7070330
6792,19406406
4573,15923122
2864,100
4417,52223306
787,253527
1791,15298355
7420,135026
7389,1155000
1911,67821
6667,31559552
1439,90426405
5751,15453274
6855,16680836
118,1796389
3656,1500000
4508,51376861
464,15369573
3753,381509870
5140,3432342
3447,36230219
7562,1275162
5984,103590271
1893,6000000
2535,214104620
4195,445135288
7663,1447740
230,72178895
5350,6303792
1735,920100000
1099,40590000
2818,9317021
7175,31055440
7323,20000000
4993,120000000
5478,47126295
6208,76411819
2371,28460702
4800,1227324
3732,13145977
2465,6928068
5305,3494070
6335,13603453
4715,8041049
6821,46122355
7919,18686644
5132,6890432
1306,64437847
2793,217022588
5758,123276807
5090,138868
2202,182379278
4435,96070507
1121,31584901
4865,400654
55,36448200
2872,14723313
5706,187436818
6613,456758981
2820,500000
589,5684789
3715,7177143
7717,4817642
1866,407778013
1256,44350926
5114,1031552585
1011,41410568
7607,152925093
6671,12000000
5801,24637469
387,1345903
811,1400000
5237,264218220
1603,17280326
1648,10300
1800,135
7489,3010
3340,50363790
5627,0
5539,2063312
4708,2395231
3594,6980986
7371,34234008
4609,5000000
2205,98410061
6220,6486797
1706,5800000
5812,507941
4565,38105395
3404,170362582
3230,5681622
1214,215576
401,6000000
1080,80936232
4159,5300
6171,658573
5746,345478
5412,154984035
6207,21268532
1742,25480490
2451,523511
2197,6800000
2994,14715067
574,211952420
3706,117615211
2251,8
5222,166770
1007,60
6097,115267375
7925,790421
2214,10903846
1521,243843127
4479,458863600
616,170000
4755,2200000
7010,137460
1990,17768757
1406,4314688
701,98450062
680,544272402
5606,7314027
1930,162091208
2664,55707411
4276,3758328
2379,6086508
841,11449638
649,192452832
5102,20627372
7599,361960
6509,80767884
677,777423
8010,228
5634,113086475
5487,1450000
4768,7355425
724,709827462
3532,32000000
2764,1268395
5121,8524534
4614,3360800
4579,553810228
5577,8622757
4084,28881266
6472,27391084
1874,1
244,43885000
5379,954305868
3798,225933435
4913,116476887
3911,6800000
4561,181096164
6268,782102
289,11373501
4503,183936074
485,15478800
2272,1007962
7501,3621046
1730,1440000
2481,51148651
99,46616067
5348,109906372
3342,363258859
1719,2804874
5214,68896829
6566,28121100
2270,3000000
4161,149337
1215,9930095
7613,31081
1978,30199105
6083,70000000
5041,10508
1771,16700000
3393,3037173
1170,11129057
1015,21000000
6392,38368909
4939,17479
2644,121214377
5426,2107925
1917,1
6998,35692920
6443,88335
6169,5987386
6621,10921200
111,22034832
1613,38955598
5458,5284309
5147,84146832
1213,2744253
874,146497771
4358,429632142
803,32056467
3454,91709827
1724,27634716
7922,81979826
4727,12200000
7506,9620399
5862,245000
7040,80573774
5790,40693477
5467,2685000
6920,1703282
4906,745327
8006,31155435
5006,4636169
1829,19776159
2687,390659
5873,32100816
1871,215394738
2156,75715436
6474,6701
1485,2807390
2244,85306374
1896,69823199
6609,1000000
3633,57814445
7349,32438988
6909,8479793
4249,28202109
2648,156974557
2167,362000072
6656,136267476
6140,746921274
7274,30000
5422,1671713208
960,83027924
1380,1600000
4870,28000000
4384,57777106
5823,5596267
391,9868942
1775,9114264
1379,17804565
469,115103979
3390,111858363
7833,85582407
4024,30638
2796,6775121
2706,97838349
1810,2293798
2702,34742066
7668,143049560
7721,19271312
444,47748
3812,63802
6383,115772733
664,70
6041,24963
6530,66700000
5089,19170001
4935,117000198
3226,26781723
322,532950503
7494,623791
4404,111000
265,13060843
3969,254000
1826,24078196
2461,240093
400,58405313
7246,2527904
3720,3347647
2984,116643346
1578,96188903
7405,26667197
7067,256271286
7227,8000000
408,40485039
5314,521170825
7802,1045786
5413,11229
7093,17355
1294,21049053
2141,84025816
1729,13000000
1975,393816
6,85446075
820,9221
1429,102000000
4115,187000000
4912,295206
662,16633035
2803,33082548
1605,5809330
5004,2025032
6454,168462
1465,32000000
3211,0
1047,76286096
2348,5262047
627,29251596
5956,345141403
491,63215872
1045,320145693
5643,28623900
5571,126216940
7797,254212245
6488,4934725
7103,60072596
6711,155895
2868,143451
1302,3484331
7775,17496992
5544,290745055
6469,16900000
7105,196567262
985,58840
3064,237113184
1780,110000000
2004,15071514
3805,9576495
38,92100
6702,500000
1445,25312387
6234,32540674
4493,28078073
434,11130889
7772,48390
4012,13200000
7725,19652185
2935,102000000
146,19510371
2821,21722776
4476,4200000
2134,300257475
974,33000000
4232,64892670
1223,80547866
6290,206678440
1764,27200000
5866,829000000
2289,71368
6620,31756000
1026,27635305
1910,372234864
1880,459359555
3135,54926886
7321,14237880
6918,4678405
7440,108902486
6026,317375031
2812,282358
6379,435000
2223,103166989
1781,5602431
7564,150406466
3218,12764201
4908,83957
1570,93600000
2247,31327899
5795,11744471
672,3485127
4348,17287309
4069,18902015
4272,427418
2650,8900000
565,81010
4751,2000000
3929,119208989
751,113244290
5683,14373825
177,532654
1430,23727301
7400,1528163
2756,41597830
3704,12090735
1490,5000000
7719,5331377
6939,17287898
4444,12000000
245,18755936
1611,103891409
3799,17637950
5217,1119368
2875,32000
2544,42792561
7850,27674124
105,16505460
6612,1040000
5313,0
3391,66122026
1463,7022209
5716,76382
514,53447
5530,43656822
5473,21355893
6194,6264058
7352,38992758
7970,18137661
7290,37150000
930,58795814
4354,55305279
5516,132440069
2632,33463969
5243,117463
6200,249288105
6341,1752038
604,26414658
2883,68369434
1785,268431
6902,82800000
643,8026971
2398,20275812
1837,35294470
7617,30987695
1822,2826523
4920,50097949
1856,400062763
7336,35976000
5978,97231420
7631,20653717
4118,34227298
5141,783000
3924,26810113
1321,128905366
1545,51416464
7988,101624843
2242,132820716
4744,14776760
4027,262552893
6823,8175346
4485,796368
7242,16000000
3441,14618727
316,118338361
842,369975
4142,98376292
5725,91258000
2287,1500000
6214,96408652
1999,27200316
7817,73983359
3360,117224271
1254,404
6440,216639112
6088,17917287
7347,4562146
1637,4152230
913,50068310
3308,8000000
7481,1188194
5981,186167139
3617,15000000
1693,42000000
242,80768
6289,2760000
2497,41954997
3443,15945534
6181,74188937
5664,257043
7150,21766271
7763,17985893
1354,422
6372,64352607
2614,72700000
4086,31611225
6050,51001550
1212,13269963
4995,39187783
458,88923251
7938,294800000
718,32710894
3121,367275019
4996,2666118
3602,0
571,16829545
878,3572443
3065,83
471,459270619
2501,8887603
